"","OUT_COMMUNITY_TOTAL","OUT_COMMUNITY_VOICE","OUT_COMMUNITY_SMS","IN_COMMUNITY_VOICE","IN_COMMUNITY_SMS","IN_COMMUNITY_TOTAL","VOICE_OUT_CALLS","VOICE_IN_CALLS","SMS_OUT_CALLS","MMS_OUT_CALLS","EVENTS_CALLS","INTERNET_CALLS","TOTAL_OUT_CALLS","VOICE_OUT_MINS","VOICE_IN_MINS","GPRS_TRAFFIC","EVENTS_TRAFFIC","OUT_CALLS_ROAMING","OUT_MINS_ROAMING","OUT_CALLS_INTERNATIONAL","OUT_MINS_INTERNATIONAL","OUT_CALLS_PEAK","OUT_CALLS_OFFPEAK","OUT_CALLS_WORK","OUT_CALLS_NONWORK","IN_CALLS_PEAK","IN_CALLS_OFFPEAK","IN_CALLS_WORK","IN_CALLS_NONWORK","DAYS_OUT","DAYS_IN","AGE"
"n",6624,6624,6624,6624,6624,6624,6624,6624,6624,6624,6624,6624,6624,6624,6624,6624,6624,6624,6624,6624,6624,6624,6624,6624,6624,6624,6624,6624,6624,6624,6624,6624
"nmiss",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"outlier_flag",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mean",32.2698363407307,28.9686241437198,3.70477573112923,37.820298026872,6.13878462862319,42.0957865858998,116.655664961806,159.276412272041,11.4839065855978,0.114997324577295,0.710084213768116,0.253428237318841,134.390348950785,112.463144870773,161.770100324577,1.08238342496981,0.138526660024155,0.704383614583333,0.878963047554348,0.932928035628019,1.53846134073068,73.9704572262983,31.8706103245773,105.131282567935,28.1608918651872,131.665218090429,47.1163550416667,124.127165558726,29.6158653129529,22.5091390073973,23.611879080465,41.903203419837
"stdev",24.9966849368436,23.3696679492643,5.27525862360505,34.2678284769242,5.57286590229928,35.2502282730483,117.661546462755,146.705906070669,28.5143157820909,0.753161704979945,1.82183363064267,1.32727610370971,130.339777045808,175.510065595512,158.993649033859,21.1398464330048,1.03804048652073,2.77450095220229,4.33203797914987,3.46477110380667,6.76148225993025,75.2601872093626,33.1736961164431,103.851502887876,27.6830791139526,130.273871174,45.6959688308593,117.824614329926,29.3620478292799,6.36388596678858,5.87720475035878,13.5575436136162
"min",0.152062,0,0,0,0,0.453059,0,0,0,0,0,0,0.150582,0,0,0,0,0,0,0,0,0,0,0.159527,0,0,0,0.605541,0.150403,0.151747,0.456938,0
"p1.1%",1.98929377,1.463847,0,2.79644934,0.45081175,4.10287475,1.89507247,7.72696278,0,0,0,0,5.31027853,1.27914959,5.76187691,0,0,0,0,0,0,1.09505527,0.63568989,4.07917342,0.80718234,5.21024852,1.75796263,6.67571823,1.12854185,2.61586834,4.11900254,21.43092288
"p5.5%",6.32743725,5.50174335,0,7.03907495,0.97170745,8.94359505,12.9712688,21.433853,0,0,0,0,17.7612859,9.98955205,18.35997025,0,0,0,0,0,0,7.64257665,3.0593763,12.7464251,3.1544693,16.17066675,5.8935591,16.80884645,3.92095055,9.07209335,11.07276575,25.3416112
"p10.10%",9.7625889,8.1857338,0.1510026,9.6276518,1.5118041,11.8851819,21.5860712,32.7708406,0,0,0,0,27.6001493,17.0301396,27.6948355,0,0,0,0,0,0,12.7875257,5.2267084,21.0144648,5.3422306,25.2868513,9.8244046,25.855721,5.9861731,13.2217076,14.8306384,27.4502171
"q1.25%",15.32478875,13.39300175,0.4971625,16.31490825,2.610711,19.628738,41.40012425,65.484469,0.57503575,0,0,0,50.1921045,30.53638575,56.5203165,0,0,0,0,0,0,25.881214,11.0450285,38.1760575,10.2121635,50.517225,18.19509375,49.8351515,11.56238725,19.33209175,21.3105725,31.61466825
"q2.50%",25.9421475,22.80151,1.948303,28.356311,4.6077945,32.8135855,81.26654,120.108829,2.6215335,0,0.1620645,0,94.9048365,66.2011155,112.1878735,0,0,0,0,0,0,50.5767365,22.2242535,73.3940895,19.9671055,94.186294,35.2064005,90.8822535,21.3584065,24.426979,25.65133,39.662229
"q3.75%",41.95822825,37.64788875,4.8095085,48.26725775,7.7899295,53.68442725,149.6730515,204.76986225,9.78546075,0,0.6610885,0,170.158624,135.635535,214.75348175,0,0,0,0,0.4708525,0.48500025,94.49513775,41.098314,133.85248975,36.253533,167.7837345,60.4247855,156.9425115,38.32712125,27.359008,27.76791925,49.69630775
"p90.90%",62.5778489,56.4990042,9.1556226,77.2334603,12.088345,83.4903017,255.5940879,324.6672735,30.7802315,0.1607847,1.7132766,0.3299789,291.4849609,255.6302245,352.1832058,0.0766529,0.1153568,1.6981313,1.9104774,1.9743088,2.9818846,158.8508885,68.4862932,226.8611803,60.5384664,281.2714199,96.0166307,256.359161,58.3496131,28.6446138,28.8966441,60.0849375
"p95.95%",78.7339639499999,71.60227615,13.38570475,95.23744765,17.06743685,102.47786485,337.9712544,427.800645099999,49.6195122499998,0.63614725,2.95310934999999,1.13589115,387.156051449999,368.4693512,465.227446649999,0.931331099999998,0.37357,3.88648055,4.4153471,3.95952334999999,6.50122735,219.3862726,96.6167667,304.775261849999,82.2153376999999,364.9292926,125.54376125,338.530576399999,80.526802,29.2965436,29.4142335,68.5267034
"p99.99%",123.94384738,114.37776682,24.3855921399999,159.12302047,26.4015815499999,167.84376398,574.4132084,742.077165049998,132.972616859999,2.12590624999999,7.63983528999997,5.47009299999999,660.415211939999,646.57874597,752.449881949992,11.1672301599998,2.87029695999996,11.19039048,15.38475036,16.85763878,31.0324118599999,369.825676849998,162.22138611,506.781188849998,139.12594008,618.379895289997,219.66746341,589.115312869999,148.36426284,30.09299757,30.1365799,80.9805354
"max",294.000941,287.704795,71.716693,552.768533,68.730875,544.735693,1186.278974,1613.209852,536.409402,29.457604,37.402894,31.136726,1230.395654,5518.664136,1726.119593,831.93581,28.936724,50.187399,110.768435,52.709288,145.894452,648.654311,335.905871,979.633259,237.838384,1487.134136,503.793434,1058.796274,337.984573,30.664303,30.648682,94.28992
"UC",107.259891151261,99.0776279915128,19.5305516019444,140.623783457644,22.857382335521,147.846471405045,469.640304350071,599.394130484049,97.0268539318704,2.37448243951713,6.17558510569611,4.23525654844797,525.409680088208,638.99334165731,638.751047426153,64.5019227239843,3.25264811958633,9.0278864711902,13.8750769850039,11.327241347048,21.8229081205214,299.751018854386,131.391698673907,416.685791231562,111.210129207045,522.486831612428,184.204261534245,477.601008548503,117.702008800793,41.6007969077631,41.2434933315413,82.5758342606857
"LC",-42.7202184698001,-41.1403797040732,-12.1210001396859,-64.9831874039005,-10.5798130782746,-63.654898233245,-236.328974426459,-280.841305939967,-74.0590407606747,-2.14448779036254,-4.75541667815988,-3.72840007381029,-256.628982186638,-414.067051915764,-315.210846776999,-62.3371558740447,-2.97559479953802,-7.61911924202353,-12.1171508898952,-9.46138527579199,-18.7459854390601,-151.81010440179,-67.6504780247521,-206.423226095693,-54.8883454766706,-259.156395431571,-89.9715514509114,-229.346677431051,-58.4702781748869,3.4174811070316,5.98026482938864,1.23057257898826
